lv_HTGL3,ygrid_0,xgrid_0,UGRD_P0_L103_GLC0,VGRD_P0_L103_GLC0,gridlat_0,gridlon_0,station,org_lat,org_lon,speed,dir
10.0,93,330,-6.4135485,4.2326293,27.692568,-97.060295,twdb064,27.692,-97.062,17.18935952041626,123.42288208007812
10.0,93,331,-6.3835483,4.102629,27.694181,-96.93663,twdb065,27.694,-96.938,16.97441764715195,122.72837829589844
10.0,93,332,-6.1835485,3.9426293,27.695696,-96.81296,twdb066,27.695,-96.814,16.40465688463211,122.52157592773438
10.0,92,323,-6.4335485,4.562629,27.568981,-97.92317,twdb067,27.569,-97.924,17.643222763013842,125.34402465820312
10.0,92,324,-6.423548,4.682629,27.571291,-97.799644,twdb068,27.571,-97.801,17.781771792144777,126.09126281738281
10.0,92,325,-6.4335485,4.682629,27.573503,-97.67612,twdb069,27.573,-97.677,17.79985267991066,126.04884338378906
10.0,92,326,-6.5235486,4.6726294,27.575615,-97.55258,twdb070,27.575,-97.554,17.94998346111298,125.61293029785156
10.0,92,327,-6.5035486,4.642629,27.577627,-97.42905,twdb071,27.577,-97.43,17.87455700741768,125.52156066894531
10.0,92,328,-6.3535485,4.5226293,27.57954,-97.305504,twdb072,27.579,-97.307,17.445515919218064,125.44430541992188
10.0,92,329,-6.3535485,4.3826294,27.581352,-97.18196,twdb073,27.581,-97.183,17.265788630857468,124.59762573242188
10.0,92,330,-6.4335485,4.2626295,27.583065,-97.05841,twdb074,27.583,-97.06,17.26369265159607,123.5269775390625
10.0,92,331,-6.4135485,4.162629,27.584679,-96.93486,twdb075,27.584,-96.936,17.10360890220642,122.98506164550781
10.0,92,332,-6.2835484,4.0426292,27.586191,-96.81131,twdb076,27.586,-96.812,16.713673560409546,122.75590515136719
10.0,92,333,-5.9835486,3.8526294,27.587605,-96.68775,twdb077,27.587,-96.689,15.919346486520768,122.77629089355469
10.0,91,324,-6.5335484,4.8626294,27.46179,-97.7971,twdb078,27.461,-97.798,18.21869546901703,126.65867614746094
10.0,91,325,-6.4935484,4.912629,27.463999,-97.67368,twdb079,27.464,-97.675,18.21425391296387,127.10896301269531
10.0,91,326,-6.5535483,4.852629,27.466108,-97.55026,twdb080,27.466,-97.551,18.241282978858948,126.51841735839844
10.0,91,327,-6.4935484,4.6326294,27.46812,-97.426834,twdb081,27.468,-97.428,17.84335518280983,125.50483703613281
10.0,91,328,-6.3135486,4.4226294,27.47003,-97.303406,twdb082,27.47,-97.305,17.243389919147493,125.01118469238281
10.0,91,329,-6.3135486,4.3226295,27.471842,-97.17998,twdb083,27.472,-97.181,17.116029045982362,124.39785766601562
10.0,91,330,-6.3635483,4.2626295,27.473553,-97.05654,twdb084,27.473,-97.058,17.133377140998842,123.81620788574219
10.0,91,331,-6.3535485,4.1926293,27.475164,-96.9331,twdb085,27.475,-96.934,17.028054449777603,123.42033386230469
10.0,91,332,-6.2635484,4.082629,27.476675,-96.809654,twdb086,27.476,-96.811,16.724758250732425,123.09663391113281
10.0,90,324,-6.693548,4.912629,27.352278,-97.794556,twdb087,27.352,-97.796,18.573004496650697,126.27626037597656
10.0,90,325,-6.6235485,4.9626293,27.354486,-97.67125,twdb088,27.354,-97.672,18.513849881954194,126.84202575683594
10.0,90,326,-6.6835485,4.852629,27.356594,-97.54794,twdb089,27.356,-97.549,18.475800125103,125.98175048828125
